C#en,C#ec,C#em,C#mn,C#rn,C#ds,C#dn,C#dp,D#de,C#tempo,cD#d,Min,Seg
18,2,16,210,1,24,256,96,france,117282,1-BAIXO,1,"57,282"
18,4,16,210,1,24,256,96,france,90339,1-BAIXO,1,"30,339"
18,4,16,210,1,24,256,96,france,91230,1-BAIXO,1,"31,23"
18,4,16,210,1,24,256,96,france,91973,1-BAIXO,1,"31,973"
18,4,16,210,1,24,256,96,france,90518,1-BAIXO,1,"30,518"
18,4,16,210,1,24,256,96,france,91267,1-BAIXO,1,"31,267"
12,4,32,210,1,24,256,96,france,104954,1-BAIXO,1,"44,954"
12,4,32,210,1,24,256,96,france,104277,1-BAIXO,1,"44,277"
12,4,32,210,1,24,256,96,france,105367,1-BAIXO,1,"45,367"
12,4,32,210,1,24,256,96,france,104851,1-BAIXO,1,"44,851"
12,4,32,210,1,24,256,96,france,104398,1-BAIXO,1,"44,398"
12,8,32,210,1,24,256,96,france,87605,1-BAIXO,1,"27,605"
12,8,32,210,1,24,256,96,france,86625,1-BAIXO,1,"26,625"
12,8,32,210,1,24,256,96,france,87043,1-BAIXO,1,"27,043"
12,8,32,210,1,24,256,96,france,86977,1-BAIXO,1,"26,977"
12,8,32,210,1,24,256,96,france,87583,1-BAIXO,1,"27,583"
6,8,64,210,1,24,256,96,france,105204,1-BAIXO,1,"45,204"
6,8,64,210,1,24,256,96,france,104412,1-BAIXO,1,"44,412"
6,8,64,210,1,24,256,96,france,105245,1-BAIXO,1,"45,245"
6,8,64,210,1,24,256,96,france,105221,1-BAIXO,1,"45,221"
6,8,64,210,1,24,256,96,france,105018,1-BAIXO,1,"45,018"
6,16,64,210,1,24,256,96,france,88352,1-BAIXO,1,"28,352"
6,16,64,210,1,24,256,96,france,89084,1-BAIXO,1,"29,084"
6,16,64,210,1,24,256,96,france,89168,1-BAIXO,1,"29,168"
6,16,64,210,1,24,256,96,france,88720,1-BAIXO,1,"28,72"
6,16,64,210,1,24,256,96,france,88201,1-BAIXO,1,"28,201"
137,1,2,210,1,24,256,96,france,108058,1-BAIXO,1,"48,058"
137,1,2,210,1,24,256,96,france,102195,1-BAIXO,1,"42,195"
137,1,2,210,1,24,256,96,france,113013,1-BAIXO,1,"53,013"
137,1,2,210,1,24,256,96,france,103836,1-BAIXO,1,"43,836"
137,1,2,210,1,24,256,96,france,104585,1-BAIXO,1,"44,585"
66,2,4,210,1,24,256,96,france,82429,1-BAIXO,1,"22,429"
66,2,4,210,1,24,256,96,france,72644,1-BAIXO,1,"12,644"
66,2,4,210,1,24,256,96,france,75819,1-BAIXO,1,"15,819"
66,2,4,210,1,24,256,96,france,73441,1-BAIXO,1,"13,441"
66,2,4,210,1,24,256,96,france,72608,1-BAIXO,1,"12,608"
42,4,8,210,1,24,256,96,france,98993,1-BAIXO,1,"38,993"
42,4,8,210,1,24,256,96,france,107978,1-BAIXO,1,"47,978"
42,4,8,210,1,24,256,96,france,114312,1-BAIXO,1,"54,312"
42,4,8,210,1,24,256,96,france,101402,1-BAIXO,1,"41,402"
42,4,8,210,1,24,256,96,france,92011,1-BAIXO,1,"32,011"
18,8,16,210,1,24,256,96,france,83476,1-BAIXO,1,"23,476"
18,8,16,210,1,24,256,96,france,81165,1-BAIXO,1,"21,165"
18,8,16,210,1,24,256,96,france,83505,1-BAIXO,1,"23,505"
