C#en,C#ec,C#em,C#mn,C#rn,C#ds,C#dn,C#dp,D#de,C#tempo,cD#d,Min,Seg
42,4,8,511,1,24,512,48,france,90167,1-BAIXO,1,"30,167"
42,4,8,511,1,24,512,48,france,91759,1-BAIXO,1,"31,759"
42,4,8,511,1,24,512,48,france,90743,1-BAIXO,1,"30,743"
42,8,8,511,1,24,512,48,france,85653,1-BAIXO,1,"25,653"
42,8,8,511,1,24,512,48,france,83858,1-BAIXO,1,"23,858"
42,8,8,511,1,24,512,48,france,83896,1-BAIXO,1,"23,896"
42,8,8,511,1,24,512,48,france,83925,1-BAIXO,1,"23,925"
42,8,8,511,1,24,512,48,france,83832,1-BAIXO,1,"23,832"
18,8,16,511,1,24,512,48,france,83859,1-BAIXO,1,"23,859"
18,8,16,511,1,24,512,48,france,85060,1-BAIXO,1,"25,06"
18,8,16,511,1,24,512,48,france,83891,1-BAIXO,1,"23,891"
18,8,16,511,1,24,512,48,france,84325,1-BAIXO,1,"24,325"
18,8,16,511,1,24,512,48,france,83474,1-BAIXO,1,"23,474"
18,16,16,511,1,24,512,48,france,86623,1-BAIXO,1,"26,623"
18,16,16,511,1,24,512,48,france,85809,1-BAIXO,1,"25,809"
18,16,16,511,1,24,512,48,france,85660,1-BAIXO,1,"25,66"
18,16,16,511,1,24,512,48,france,84205,1-BAIXO,1,"24,205"
18,16,16,511,1,24,512,48,france,85083,1-BAIXO,1,"25,083"
12,16,32,511,1,24,512,48,france,84852,1-BAIXO,1,"24,852"
12,16,32,511,1,24,512,48,france,86088,1-BAIXO,1,"26,088"
12,16,32,511,1,24,512,48,france,84707,1-BAIXO,1,"24,707"
12,16,32,511,1,24,512,48,france,84759,1-BAIXO,1,"24,759"
12,16,32,511,1,24,512,48,france,84278,1-BAIXO,1,"24,278"
